#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        105.095            129        0.77594        0.01938            100        1.06976        0.00587      182.26592
               1        116.078            321        0.66971        0.01229      110.45039        0.91584        0.00441      207.63574
               2        128.209            576        0.59335        0.00917      121.99288        0.78304        0.00367      213.60882
               3        141.607            967        0.48685        0.00708      134.74162        0.66538        0.00318      209.47335
               4        156.406           1343        0.40747        0.00601      148.82264        0.56896        0.00285      199.86132
               5        172.751           1698        0.34062        0.00534      164.37518        0.48837        0.00258      188.96756
               6        190.804           2225        0.29126        0.00467      181.55303        0.42114        0.00236      178.68843
               7        210.744           2743        0.24662         0.0042      200.52603        0.36375        0.00217      167.76064
               8        232.767           3220        0.21081        0.00388      221.48178        0.31531          0.002      157.39529
               9        257.092           4032        0.17961        0.00347      244.62748        0.27405        0.00185      147.99837
              10        283.959           4823        0.15823        0.00317      270.19201        0.23908        0.00172      138.76867
              11        313.634           5803        0.14201        0.00289      298.42812        0.20839        0.00161      129.53572
              12         346.41           7208         0.1205        0.00259      329.61502        0.18092        0.00151      119.85188
              13        382.611           8669        0.10506        0.00236      364.06108        0.15785        0.00143      110.50007
              14        422.596          10380        0.09049        0.00216      402.10687        0.13792        0.00136      101.28074
              15        466.759          12642        0.07873        0.00196      444.12861        0.12102        0.00131       92.43115
              16        515.537          15403        0.07369        0.00177      490.54177        0.10661        0.00127       83.70198
              17        569.412          18581        0.06417        0.00161       541.8053        0.09313        0.00126       74.10532
              18        628.918          22793        0.05657        0.00146      598.42606         0.0817        0.00126        64.7795
              19        694.643          27580        0.04697        0.00133      660.96391        0.07198         0.0013       55.57474
              20        767.235          33495        0.04549         0.0012      730.03721        0.06478        0.00137       47.28668
              21        847.414          35060        0.04692        0.00118      806.32894         0.0579        0.00151       38.30529
              22        935.973          22237        0.04225        0.00148      890.59345        0.04993        0.00177       28.19807
              23       1033.785          13531        0.03676        0.00189      983.66393        0.04277        0.00225       18.97874
              24        1141.82           4727        0.03383         0.0032      1086.4606         0.0373        0.00353       10.56568
