#            bin              r          ngals             et        eterror         rkappa          kappa     kappaerror             nu
               0        105.095            129        0.77625        0.01929            100        1.07143        0.00584      183.40202
               1        116.078            321        0.67061        0.01223      110.45039        0.91745        0.00439      208.97098
               2        128.209            576        0.58826        0.00913      121.99288        0.78447        0.00365      214.99793
               3        141.607            967        0.48718        0.00705      134.74162        0.66784        0.00316      211.22904
               4        156.406           1343        0.40891        0.00598      148.82264        0.57136        0.00283       201.6416
               5        172.751           1698        0.34203        0.00532      164.37518        0.49049        0.00257      190.67309
               6        190.804           2225        0.29197        0.00464      181.55303        0.42298        0.00235      180.30655
               7        210.744           2743        0.24781        0.00418      200.52603        0.36546        0.00216      169.33281
               8        232.767           3220        0.21177        0.00386      221.48178        0.31678        0.00199      158.86682
               9        257.092           4032        0.18034        0.00345      244.62748        0.27533        0.00184      149.38453
              10        283.959           4823        0.15901        0.00315      270.19201        0.24022        0.00171      140.08274
              11        313.634           5803        0.14263        0.00288      298.42812        0.20938         0.0016      130.75875
              12         346.41           7208        0.12107        0.00258      329.61502        0.18179         0.0015      120.99067
              13        382.611           8669        0.10586        0.00235      364.06108        0.15861        0.00142       111.5515
              14        422.596          10380        0.09087        0.00215      402.10687        0.13852        0.00136      102.19678
              15        466.759          12642         0.0792        0.00195      444.12861        0.12155         0.0013       93.27026
              16        515.537          15403        0.07411        0.00177      490.54177        0.10705        0.00127       84.43795
              17        569.412          18581        0.06447        0.00161       541.8053        0.09348        0.00125       74.73436
              18        628.918          22793        0.05689        0.00145      598.42606          0.082        0.00126       65.31884
              19        694.643          27580         0.0474        0.00132      660.96391        0.07221        0.00129       56.01357
              20        767.235          33495        0.04571         0.0012      730.03721         0.0649        0.00136       47.59595
              21        847.414          35060        0.04713        0.00117      806.32894        0.05796         0.0015       38.52553
              22        935.973          22237        0.04223        0.00147      890.59345        0.04992        0.00176       28.32059
              23       1033.785          13531        0.03677        0.00188      983.66393        0.04276        0.00224        19.0629
              24        1141.82           4727         0.0338        0.00319      1086.4606        0.03727        0.00351       10.60622
